director_and_actors,img,link,other_title,quote,rank,rating,reviewers,title
导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,https://movie.douban.com/subject/1296141/, / 雄才伟略  /  情妇,比利·怀德满分作品。,19,9.6,543690人评价,控方证人
导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,https://movie.douban.com/subject/1292213/, / 西游记完结篇仙履奇缘  /  齐天大圣西游记,一生所爱。,20,9.2,1516619人评价,大话西游之大圣娶亲
导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,https://movie.douban.com/subject/5912992/, / 无声呐喊(港)  /  漩涡,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,21,9.4,921589人评价,熔炉
导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,https://movie.douban.com/subject/1291841/, / Mario Puzo's The Godfather,千万不要记恨你的对手，这样会让你失去理智。,22,9.3,953986人评价,教父
导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,https://movie.douban.com/subject/6786002/, / 闪亮人生(港)  /  逆转人生(台),满满温情的高雅喜剧。,23,9.3,1097653人评价,触不可及
导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,https://movie.douban.com/subject/1849031/, / 寻找快乐的故事(港)  /  追求快乐,平民励志片。 ,24,9.2,1502625人评价,当幸福来敲门
导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,https://movie.douban.com/subject/3319755/, / 萌动青春  /  青春萌动,真正的幸福是来自内心深处。,25,9.1,1811647人评价,怦然心动
导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,https://movie.douban.com/subject/1291560/, / 邻居托托罗  /  邻家的豆豆龙,人人心中都有个龙猫，童年就永远不会消失。,26,9.2,1250985人评价,龙猫
导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,https://movie.douban.com/subject/1293172/, / 末代皇帝溥仪(港)  /  L'ultimo imperatore,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,27,9.3,869086人评价,末代皇帝
导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,https://movie.douban.com/subject/20495023/, / 玩转极乐园(港)  /  可可夜总会(台),死亡不是真的逝去，遗忘才是永恒的消亡。,28,9.1,1653452人评价,寻梦环游记
导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,https://movie.douban.com/subject/1292365/, / 人生  /  Lifetimes,张艺谋最好的电影。,29,9.3,832668人评价,活着
导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,https://movie.douban.com/subject/1851857/, / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),无尽的黑暗。,30,9.2,1042579人评价,蝙蝠侠：黑暗骑士
导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,https://movie.douban.com/subject/1295038/, / 哈利波特1：神秘的魔法石(港 / 台) ,童话世界的开端。,31,9.2,1171296人评价,哈利·波特与魔法石
导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,https://movie.douban.com/subject/1291552/, / 魔戒三部曲：王者再临(台 / 港) ,史诗的终章。,32,9.3,792759人评价,指环王3：王者无敌
导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,https://movie.douban.com/subject/1300267/, / 飘,Tomorrow is another day.,33,9.3,682415人评价,乱世佳人
导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,https://movie.douban.com/subject/26752088/, / 中国药神  /  印度药神,对我们国家而言，这样的电影多一部是一部。,34,9.0,2076018人评价,我不是药神
导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,https://movie.douban.com/subject/21937452/, / 许愿  /  希望：为爱重生(台),受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,35,9.3,678234人评价,素媛
